,date,day_name,holiday
1,2019-01-01,1월1일,Y
2,2019-02-04,설날,Y
3,2019-02-05,설날,Y
4,2019-02-06,설날,Y
5,2019-03-01,삼일절,Y
6,2019-05-05,어린이날,Y
7,2019-05-06,대체공휴일,Y
8,2019-05-12,부처님오신날,Y
9,2019-06-06,현충일,Y
10,2019-08-15,광복절,Y
11,2019-09-12,추석,Y
12,2019-09-13,추석,Y
13,2019-09-14,추석,Y
14,2019-10-03,개천절,Y
15,2019-10-09,한글날,Y
16,2019-12-25,기독탄신일,Y
17,2020-01-01,1월1일,Y
18,2020-01-24,설날,Y
19,2020-01-25,설날,Y
20,2020-01-26,설날,Y
21,2020-01-27,설날,Y
22,2020-03-01,삼일절,Y
23,2020-04-15,제21대 국회의원선거,Y
24,2020-04-30,부처님오신날,Y
25,2020-05-05,어린이날,Y
26,2020-06-06,현충일,Y
27,2020-08-15,광복절,Y
28,2020-08-17,임시공휴일,Y
29,2020-09-30,추석,Y
30,2020-10-01,추석,Y
31,2020-10-02,추석,Y
32,2020-10-03,개천절,Y
33,2020-10-09,한글날,Y
34,2020-12-25,기독탄신일,Y
35,2021-01-01,1월1일,Y
36,2021-02-11,설날,Y
37,2021-02-12,설날,Y
38,2021-02-13,설날,Y
39,2021-03-01,삼일절,Y
40,2021-05-05,어린이날,Y
41,2021-05-19,부처님오신날,Y
42,2021-06-06,현충일,Y
43,2021-08-15,광복절,Y
44,2021-08-16,대체공휴일,Y
45,2021-09-20,추석,Y
46,2021-09-21,추석,Y
47,2021-09-22,추석,Y
48,2021-10-03,개천절,Y
49,2021-10-04,대체공휴일,Y
50,2021-10-09,한글날,Y
51,2021-10-11,대체공휴일,Y
52,2021-12-25,기독탄신일,Y
